Light Intensity, Ch A vs Position, Ch 1&2, Run #1
Position, Ch 1&2 ( m )	Light Intensity, Ch A ( % max )
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.1
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.1
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	-0.1
0.000	-0.2
0.000	-0.1
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.1
0.000	-0.1
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	-0.1
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	-0.1
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.1
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.1
0.000	0.0
0.000	-0.1
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.1
0.000	0.0
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.1
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.1
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	-0.1
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.1
0.000	-0.2
0.000	0.0
0.000	-0.1
0.000	-0.1
0.000	-0.1
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.1
0.000	-0.2
0.000	-0.1
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	-0.1
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	0.0
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.2
0.000	0.0
0.000	-0.1
-2.217E-4	-0.2
-2.217E-4	-0.1
-2.217E-4	0.0
-2.217E-4	0.0
-2.217E-4	-0.1
-2.217E-4	0.0
-2.217E-4	-0.2
-2.217E-4	-0.1
-2.217E-4	-0.2
-2.217E-4	0.0
-2.217E-4	-0.1
-2.217E-4	-0.2
-2.217E-4	-0.2
-2.217E-4	-0.2
-2.217E-4	0.0
-2.217E-4	-0.2
-2.217E-4	-0.1
-2.217E-4	-0.2
-2.217E-4	0.0
-2.217E-4	0.0
-2.217E-4	0.0
-2.217E-4	0.0
-2.217E-4	-0.2
-2.217E-4	-0.2
-2.217E-4	-0.2
-2.217E-4	-0.2
-2.217E-4	-0.1
-2.217E-4	0.0
-2.217E-4	0.0
-2.217E-4	-0.1
-2.217E-4	-0.2
